Time (min),Force (N),Position (mm)
1.67E-05,-0.271,0.00
0.00113,-0.271,0.00
0.00223,-0.377,0.00
0.00334,-0.364,0.00
0.00445,-0.380,0.00
0.00556,-0.393,0.00
0.00667,-0.243,0.000400
0.00778,-0.00449,0.00100
0.00889,2.61,0.00230
0.0100,7.16,0.00380
0.0111,11.9,0.00525
0.0122,16.7,0.00650
0.0133,21.4,0.00780
0.0144,25.9,0.00901
0.0155,30.2,0.0102
0.0167,34.8,0.0114
0.0178,39.1,0.0125
0.0189,43.3,0.0137
0.0200,46.9,0.0148
0.0211,50.8,0.0159
0.0222,54.6,0.0170
0.0233,58.1,0.0181
0.0244,62.1,0.0193
0.0255,66.5,0.0204
0.0266,71.5,0.0216
0.0277,76.9,0.0227
0.0289,82.8,0.0238
0.0300,88.3,0.0250
0.0311,94.0,0.0261
0.0322,99.6,0.0272
0.0333,106,0.0283
0.0344,111,0.0295
0.0355,117,0.0305
0.0366,123,0.0317
0.0377,129,0.0328
0.0388,135,0.0339
0.0399,140,0.0350
0.0411,146,0.0361
0.0422,152,0.0372
0.0433,158,0.0383
0.0444,164,0.0394
0.0455,170,0.0405
0.0466,175,0.0416
0.0477,181,0.0427
0.0488,187,0.0439
0.0499,193,0.0450
0.0510,199,0.0461
0.0521,205,0.0472
0.0533,211,0.0483
0.0544,217,0.0494
0.0555,224,0.0505
0.0566,230,0.0516
0.0577,236,0.0527
0.0588,242,0.0538
0.0599,249,0.0549
0.0610,255,0.0561
0.0621,262,0.0572
0.0632,268,0.0583
0.0643,275,0.0595
0.0655,281,0.0606
0.0666,288,0.0616
0.0677,295,0.0627
0.0688,302,0.0639
0.0699,309,0.0650
0.0710,316,0.0661
0.0721,323,0.0672
0.0732,330,0.0683
0.0743,338,0.0694
0.0754,347,0.0705
0.0765,356,0.0716
0.0777,366,0.0727
0.0788,377,0.0738
0.0799,388,0.0749
0.0810,400,0.0761
0.0821,412,0.0772
0.0832,425,0.0783
0.0843,438,0.0794
0.0854,451,0.0805
0.0865,464,0.0816
0.0876,478,0.0827
0.0887,493,0.0839
0.0899,508,0.0849
0.0910,523,0.0860
0.0921,539,0.0872
0.0932,556,0.0883
0.0943,574,0.0894
0.0954,592,0.0905
0.0965,609,0.0916
0.0976,629,0.0927
0.0987,648,0.0939
0.0998,667,0.0950
0.101,686,0.0961
0.102,707,0.0972
0.103,727,0.0983
0.104,747,0.0994
0.105,767,0.101
0.106,788,0.102
0.108,810,0.103
0.109,831,0.104
0.110,853,0.105
0.111,875,0.106
0.112,897,0.107
0.113,919,0.108
0.114,943,0.109
0.115,965,0.111
0.116,988,0.112
0.118,1010,0.113
0.119,1030,0.114
0.120,1060,0.115
0.121,1080,0.116
0.122,1100,0.117
0.123,1130,0.118
0.124,1150,0.119
0.125,1180,0.120
0.126,1200,0.122
0.128,1230,0.123
0.129,1250,0.124
0.130,1280,0.125
0.131,1310,0.126
0.132,1330,0.127
0.133,1360,0.128
0.134,1390,0.129
0.135,1410,0.131
0.136,1440,0.132
0.138,1470,0.133
0.139,1500,0.134
0.140,1520,0.135
0.141,1550,0.136
0.142,1580,0.137
0.143,1610,0.138
0.144,1640,0.139
0.145,1670,0.140
0.146,1690,0.142
0.148,1720,0.143
0.149,1750,0.144
0.150,1780,0.145
0.151,1810,0.146
0.152,1840,0.147
0.153,1870,0.148
0.154,1900,0.149
0.155,1930,0.150
0.156,1960,0.152
0.158,1990,0.153
0.159,2020,0.154
0.160,2050,0.155
0.161,2080,0.156
0.162,2110,0.157
0.163,2140,0.158
0.164,2180,0.159
0.165,2210,0.161
0.166,2240,0.162
0.167,2270,0.163
0.169,2300,0.164
0.170,2330,0.165
0.171,2370,0.166
0.172,2400,0.167
0.173,2430,0.168
0.174,2460,0.169
0.175,2490,0.170
0.176,2530,0.172
0.177,2560,0.173
0.179,2590,0.174
0.180,2620,0.175
0.181,2660,0.176
0.182,2690,0.177
0.183,2720,0.178
0.184,2750,0.179
