TrialIdx,Diameter1_mm,Diameter2_mm,Diameter3_mm,Height1_mm,Height2_mm,Height3_mm
0,12.38,12.38,12.37,5.36,5.38,5.39
1,12.15,12.20,12.24,5.50,5.49,5.47
2,12.25,12.23,12.29,5.80,5.80,5.62
3,12.45,12.44,12.42,5.97,5.96,5.90
4,12.28,12.12,12.14,6.33,6.54,6.54
5,12.37,12.34,12.35,6.51,6.48,6.44
6,12.41,12.36,12.39,6.56,6.56,6.52
7,12.26,12.31,12.22,6.49,6.52,6.61
8,12.26,12.19,12.18,6.67,6.53,6.69
9,12.22,12.23,12.25,6.27,6.30,6.30
10,12.33,12.37,12.33,6.59,6.51,6.59
11,12.26,12.24,12.27,6.55,6.46,6.60
12,12.33,12.32,12.33,6.74,6.68,6.67
13,12.47,12.46,12.44,6.77,6.83,6.88
14,12.36,12.36,12.36,7.11,7.10,7.11
15,12.32,12.33,12.34,7.74,7.75,7.73
16,12.30,12.29,12.31,6.45,6.46,6.49
17,12.33,12.31,12.36,7.04,7.12,7.06
18,12.36,12.34,12.35,7.11,7.13,7.14
19,12.30,12.32,12.30,7.08,6.97,6.99
20,12.58,12.54,12.53,6.17,6.09,6.18
21,12.49,12.51,12.49,7.31,7.38,7.37
22,12.34,12.35,12.35,6.95,6.97,6.90
23,12.58,12.56,12.60,6.55,6.59,6.56
