Time (min),Force (N),Position (mm)
1.67E-05,0.600,0.00
0.000999,0.593,0.00
0.00198,0.636,0.00
0.00296,0.707,0.00
0.00395,0.670,0.00
0.00493,0.620,0.00
0.00591,0.666,0.000200
0.00690,0.684,0.000473
0.00788,0.843,0.00110
0.00886,1.29,0.00260
0.00984,1.67,0.00390
0.0108,1.89,0.00520
0.0118,1.94,0.00635
0.0128,2.11,0.00750
0.0138,2.25,0.00860
0.0148,2.48,0.00980
0.0157,2.56,0.0109
0.0167,2.75,0.0119
0.0177,2.94,0.0130
0.0187,3.12,0.0140
0.0197,3.38,0.0150
0.0207,3.48,0.0160
0.0216,3.64,0.0170
0.0226,3.75,0.0180
0.0236,3.82,0.0190
0.0246,4.03,0.0200
0.0256,4.26,0.0209
0.0265,4.42,0.0219
0.0275,4.83,0.0229
0.0285,5.16,0.0239
0.0295,5.53,0.0249
0.0305,6.01,0.0258
0.0315,6.33,0.0269
0.0324,6.81,0.0279
0.0334,7.19,0.0289
0.0344,7.66,0.0298
0.0354,8.15,0.0308
0.0364,8.84,0.0318
0.0374,9.52,0.0328
0.0383,10.4,0.0338
0.0393,10.8,0.0348
0.0403,11.5,0.0357
0.0413,12.4,0.0367
0.0423,13.2,0.0377
0.0433,14.2,0.0386
0.0442,15.2,0.0396
0.0452,16.2,0.0406
0.0462,17.2,0.0416
0.0472,18.2,0.0426
0.0482,19.3,0.0436
0.0492,20.6,0.0446
0.0501,21.8,0.0456
0.0511,23.2,0.0466
0.0521,24.7,0.0476
0.0531,26.1,0.0485
0.0541,27.7,0.0495
0.0550,29.2,0.0505
0.0560,31.0,0.0515
0.0570,32.8,0.0525
0.0580,34.7,0.0534
0.0590,36.5,0.0544
0.0600,38.5,0.0554
0.0609,40.5,0.0564
0.0619,42.9,0.0574
0.0629,45.2,0.0584
0.0639,47.5,0.0593
0.0649,49.8,0.0603
0.0659,52.3,0.0613
0.0668,54.8,0.0623
0.0678,57.4,0.0632
0.0688,60.1,0.0642
0.0698,62.9,0.0652
0.0708,65.8,0.0662
0.0718,68.6,0.0672
0.0727,71.6,0.0681
0.0737,74.6,0.0691
0.0747,77.8,0.0701
0.0757,81.0,0.0711
0.0767,84.2,0.0721
0.0776,87.5,0.0731
0.0786,91.2,0.0741
0.0796,94.7,0.0750
0.0806,98.1,0.0760
0.0816,102,0.0770
0.0826,106,0.0780
0.0835,110,0.0790
0.0845,113,0.0800
0.0855,117,0.0810
0.0865,122,0.0820
0.0875,126,0.0830
0.0885,130,0.0839
0.0894,134,0.0849
0.0904,139,0.0859
0.0914,143,0.0868
0.0924,148,0.0878
0.0934,152,0.0888
0.0944,157,0.0898
0.0953,162,0.0908
0.0963,167,0.0918
0.0973,172,0.0928
0.0983,177,0.0937
0.0993,182,0.0947
0.100,187,0.0957
0.101,193,0.0967
0.102,198,0.0977
0.103,204,0.0987
0.104,209,0.0997
0.105,215,0.101
0.106,221,0.102
0.107,226,0.103
0.108,233,0.104
0.109,238,0.105
0.110,245,0.106
0.111,250,0.107
0.112,257,0.108
0.113,263,0.109
0.114,269,0.110
0.115,276,0.110
0.116,283,0.112
0.117,290,0.112
0.118,296,0.113
0.119,303,0.114
0.120,310,0.115
0.121,317,0.116
0.122,323,0.117
0.123,331,0.118
0.124,338,0.119
