Time (min),Force (N),Position (mm)
1.667E-05,0.30714,-0.0004000
0.001251,0.30000,-0.0004000
0.002485,0.31354,-0.0004000
0.003719,0.25714,-0.0004000
0.004953,0.38423,-0.0004000
0.006188,0.34286,-0.0002000
0.007422,0.34777,0.0002000
0.008656,0.52143,0.001436
0.009890,0.82143,0.003200
0.01112,0.90714,0.004800
0.01236,0.99657,0.006252
0.01359,1.0459,0.007800
0.01483,1.1687,0.009100
0.01606,1.3000,0.01057
0.01730,1.2857,0.01190
0.01853,1.3944,0.01320
0.01976,1.6810,0.01440
0.02100,1.6706,0.01570
0.02223,1.9214,0.01700
0.02347,2.1498,0.01820
0.02470,2.2789,0.01950
0.02593,2.5351,0.02061
0.02717,2.8296,0.02180
0.02840,3.0157,0.02310
0.02964,3.3053,0.02440
0.03087,3.6643,0.02560
0.03211,3.8929,0.02680
0.03334,4.3386,0.02804
0.03457,4.7883,0.02930
0.03581,5.2214,0.03050
0.03704,5.7754,0.03170
0.03828,6.2516,0.03290
0.03951,7.1357,0.03420
0.04075,7.7551,0.03540
0.04198,8.6181,0.03670
0.04321,9.3961,0.03790
0.04445,10.445,0.03910
0.04568,11.649,0.04040
0.04692,12.985,0.04160
0.04815,14.379,0.04280
0.04938,15.961,0.04410
0.05062,17.980,0.04530
0.05185,19.912,0.04660
0.05309,22.338,0.04780
0.05432,24.947,0.04900
0.05556,27.601,0.05020
0.05679,30.810,0.05140
0.05802,33.905,0.05270
0.05926,37.325,0.05390
0.06049,40.996,0.05510
0.06173,45.133,0.05640
0.06296,49.654,0.05770
0.06420,54.299,0.05890
0.06543,59.072,0.06010
0.06666,64.183,0.06140
0.06790,69.443,0.06250
0.06913,75.046,0.06380
0.07037,80.869,0.06500
0.07160,86.845,0.06620
0.07283,93.441,0.06750
0.07407,100.14,0.06870
0.07530,107.02,0.07000
0.07654,113.85,0.07120
0.07777,121.49,0.07250
0.07901,129.18,0.07370
0.08024,136.75,0.07490
0.08147,144.59,0.07620
0.08271,153.06,0.07740
0.08394,161.29,0.07860
0.08518,169.87,0.07986
0.08641,178.83,0.08110
0.08764,187.40,0.08230
0.08888,196.63,0.08350
0.09011,205.87,0.08478
0.09135,215.71,0.08600
0.09258,225.94,0.08730
0.09382,235.88,0.08860
0.09505,246.05,0.08980
0.09628,256.11,0.09100
0.09752,266.68,0.09230
0.09875,277.78,0.09350
0.09999,288.13,0.09470
0.1012,299.50,0.09590
0.1025,310.48,0.09713
0.1037,322.09,0.09840
0.1049,333.75,0.09960
0.1062,345.39,0.1009
0.1074,358.00,0.1021
0.1086,369.69,0.1034
0.1099,381.43,0.1046
0.1111,394.55,0.1058
0.1123,406.86,0.1071
0.1136,419.72,0.1082
0.1148,432.35,0.1095
0.1160,445.98,0.1108
0.1173,459.56,0.1120
0.1185,472.22,0.1132
0.1197,485.98,0.1144
0.1210,499.54,0.1156
0.1222,513.21,0.1169
0.1234,527.45,0.1181
0.1247,541.89,0.1193
0.1259,556.93,0.1206
0.1271,571.23,0.1218
0.1284,586.45,0.1231
0.1296,601.76,0.1244
0.1308,616.71,0.1255
0.1321,632.01,0.1268
0.1333,647.34,0.1280
0.1345,662.91,0.1292
0.1358,679.37,0.1305
0.1370,695.57,0.1317
0.1382,711.89,0.1330
0.1395,728.17,0.1342
0.1407,745.57,0.1355
0.1419,762.55,0.1367
0.1432,779.43,0.1379
0.1444,796.79,0.1392
0.1457,814.07,0.1404
0.1469,831.41,0.1416
0.1481,849.64,0.1429
0.1494,868.29,0.1441
0.1506,885.50,0.1453
0.1518,903.22,0.1465
0.1531,921.62,0.1477
0.1543,940.35,0.1490
0.1555,959.03,0.1502
0.1568,977.46,0.1514
0.1580,996.46,0.1526
0.1592,1015.9,0.1539
0.1605,1035.2,0.1552
0.1617,1055.7,0.1564
0.1629,1074.7,0.1576
0.1642,1094.6,0.1589
0.1654,1114.5,0.1601
0.1666,1135.0,0.1614
0.1679,1154.4,0.1626
0.1691,1173.8,0.1638
0.1703,1194.2,0.1650
0.1716,1215.6,0.1662
0.1728,1236.1,0.1675
0.1740,1258.1,0.1688
0.1753,1278.0,0.1699
0.1765,1299.4,0.1712
0.1777,1321.0,0.1724
0.1790,1341.7,0.1736
0.1802,1362.0,0.1749
0.1814,1383.6,0.1761
0.1827,1406.5,0.1774
0.1839,1428.1,0.1786
0.1851,1450.0,0.1798
0.1864,1472.1,0.1811
0.1876,1492.8,0.1823
0.1888,1516.1,0.1835
0.1901,1538.4,0.1848
0.1913,1560.6,0.1860
0.1926,1582.6,0.1872
0.1938,1605.4,0.1885
0.1950,1629.4,0.1898
0.1963,1651.0,0.1910
0.1975,1673.6,0.1922
0.1987,1696.7,0.1934
0.2000,1718.6,0.1946
0.2012,1742.3,0.1959
0.2024,1765.2,0.1972
0.2037,1787.8,0.1983
0.2049,1811.7,0.1996
0.2061,1835.5,0.2008
0.2074,1860.5,0.2021
0.2086,1883.7,0.2033
0.2098,1908.8,0.2046
0.2111,1932.9,0.2058
0.2123,1955.4,0.2070
0.2135,1980.8,0.2083
0.2148,2005.2,0.2095
0.2160,2029.5,0.2107
0.2172,2053.7,0.2119
0.2185,2077.5,0.2131
