TrialIdx,Diameter1_mm,Diameter2_mm,Diameter3_mm,Height1_mm,Height2_mm,Height3_mm
0,12.33,12.29,12.30,7.14,7.13,7.12
1,12.61,12.62,12.58,6.62,6.50,6.59
2,12.45,12.40,12.42,7.58,7.52,7.57
3,12.42,12.41,12.40,7.24,7.26,7.25
4,12.57,12.59,12.58,6.30,6.28,6.29
5,12.43,12.42,12.42,7.63,7.66,7.65
6,12.31,12.28,12.28,7.88,7.85,7.90
7,12.40,12.40,12.38,6.32,6.30,6.29
8,12.40,12.40,12.40,7.16,7.19,7.18
9,12.49,12.54,12.47,5.56,5.60,5.56
10,12.35,12.38,12.36,7.56,7.53,7.56
11,12.37,12.44,12.40,4.94,4.90,4.90
12,12.53,12.48,12.52,7.52,7.54,7.57
13,12.47,12.54,12.35,6.80,6.80,6.78
14,12.35,12.35,12.36,6.68,6.64,6.69
15,12.31,12.36,12.30,6.57,6.65,6.63
16,12.56,12.59,12.59,3.13,3.11,3.13
17,12.36,12.46,12.30,6.08,6.08,6.14
18,12.50,12.46,12.62,6.13,6.14,6.15
19,12.30,12.38,12.30,6.28,6.28,6.24
20,12.46,12.44,12.39,5.95,5.94,5.94
21,12.26,12.28,12.28,6.22,6.19,6.16
22,12.63,12.47,12.50,6.47,6.46,6.45
23,12.25,12.23,12.25,6.28,6.31,6.28
