Time (min),Force (N),Position (mm)
2E-05,0.321,-0.000400
0.001,0.284,-0.000400
0.003,0.268,-0.000400
0.004,0.352,-0.000400
0.006,0.250,-0.000400
0.007,0.350,-0.000200
0.009,0.321,0.000600
0.01,0.577,0.00270
0.01,0.671,0.00460
0.01,0.831,0.00636
0.01,0.970,0.00800
0.02,1.09,0.00960
0.02,1.25,0.0113
0.02,1.26,0.0128
0.02,1.53,0.0143
0.02,1.76,0.0159
0.02,2.01,0.0174
0.03,2.36,0.0189
0.03,2.82,0.0204
0.03,3.26,0.0219
0.03,3.85,0.0234
0.03,4.50,0.0249
0.03,5.37,0.0263
0.03,6.41,0.0278
0.04,7.50,0.0293
0.04,8.57,0.0308
0.04,9.79,0.0322
0.04,11.3,0.0337
0.04,12.8,0.0352
0.04,14.4,0.0367
0.04,16.1,0.0382
0.05,18.1,0.0397
0.05,20.1,0.0411
0.05,22.2,0.0427
0.05,24.5,0.0441
0.05,27.0,0.0456
0.05,29.7,0.0471
0.05,32.3,0.0485
0.06,35.1,0.0500
0.06,38.1,0.0515
0.06,41.2,0.0529
0.06,44.4,0.0544
0.06,47.9,0.0559
0.06,51.2,0.0574
0.07,54.9,0.0589
0.07,58.5,0.0603
0.07,62.1,0.0618
0.07,66.0,0.0633
0.07,70.0,0.0647
0.07,74.0,0.0662
0.07,78.3,0.0677
0.08,82.4,0.0692
0.08,86.6,0.0707
0.08,91.2,0.0722
0.08,95.5,0.0736
0.08,99.9,0.0751
0.08,105,0.0766
0.08,110,0.0781
0.09,114,0.0795
0.09,119,0.0810
0.09,124,0.0824
0.09,129,0.0839
0.09,135,0.0854
0.09,140,0.0869
0.09,146,0.0884
0.1,151,0.0899
0.1,157,0.0913
0.1,163,0.0928
0.1,168,0.0943
0.1,174,0.0957
0.1,181,0.0973
0.1,187,0.0987
0.1,193,0.100
0.1,200,0.102
0.1,206,0.103
0.1,213,0.105
0.1,220,0.106
0.1,227,0.108
0.1,234,0.109
0.1,241,0.111
0.1,248,0.112
0.1,255,0.113
0.1,263,0.115
0.1,270,0.116
0.1,278,0.118
0.1,286,0.119
0.1,294,0.121
0.1,302,0.122
0.1,310,0.124
0.1,319,0.125
0.1,327,0.127
0.1,336,0.128
0.1,345,0.130
0.1,353,0.131
0.1,362,0.133
0.1,372,0.134
0.1,381,0.136
0.1,391,0.137
0.1,401,0.139
0.1,410,0.140
0.1,420,0.142
0.1,430,0.143
0.2,441,0.145
0.2,451,0.146
0.2,461,0.148
0.2,472,0.149
0.2,483,0.151
0.2,494,0.152
0.2,504,0.153
0.2,516,0.155
0.2,527,0.156
0.2,539,0.158
0.2,551,0.159
0.2,562,0.161
0.2,574,0.162
0.2,586,0.164
0.2,599,0.165
0.2,611,0.167
0.2,624,0.168
0.2,637,0.170
0.2,650,0.171
0.2,663,0.173
0.2,676,0.174
0.2,690,0.176
0.2,703,0.177
0.2,717,0.179
0.2,731,0.180
0.2,744,0.182
0.2,759,0.183
0.2,773,0.185
0.2,788,0.186
0.2,803,0.187
0.2,817,0.189
0.2,833,0.190
0.2,847,0.192
0.2,863,0.193
0.2,878,0.195
0.2,894,0.196
0.2,909,0.198
0.2,925,0.199
0.2,942,0.201
0.2,958,0.202
0.2,975,0.204
0.2,991,0.205
0.2,1010,0.207
0.2,1030,0.208
0.2,1040,0.210
0.2,1060,0.211
0.2,1080,0.213
0.2,1090,0.214
0.2,1110,0.216
0.2,1130,0.217
0.2,1150,0.218
0.2,1170,0.220
0.2,1180,0.221
0.2,1200,0.223
0.2,1220,0.224
0.2,1240,0.226
0.2,1260,0.227
0.2,1280,0.229
0.2,1300,0.230
0.2,1320,0.232
0.2,1340,0.233
0.2,1360,0.235
0.2,1380,0.236
0.2,1390,0.238
0.2,1410,0.239
0.2,1430,0.241
0.2,1460,0.242
0.2,1480,0.244
0.3,1500,0.245
0.3,1520,0.246
0.3,1540,0.248
0.3,1560,0.250
0.3,1580,0.251
0.3,1600,0.252
0.3,1620,0.254
0.3,1640,0.255
0.3,1660,0.257
0.3,1690,0.258
0.3,1710,0.260
0.3,1730,0.261
0.3,1750,0.263
0.3,1770,0.264
0.3,1800,0.266
0.3,1820,0.267
0.3,1840,0.269
0.3,1860,0.270
0.3,1890,0.272
0.3,1910,0.273
0.3,1930,0.275
0.3,1960,0.276
0.3,1980,0.278
0.3,2000,0.279
0.3,2030,0.281
0.3,2050,0.282
0.3,2070,0.283
0.3,2100,0.285
0.3,2120,0.286
0.3,2150,0.288
0.3,2170,0.289
0.3,2190,0.291
0.3,2220,0.292
0.3,2240,0.294
0.3,2270,0.295
0.3,2290,0.297
0.3,2320,0.298
0.3,2340,0.300
0.3,2370,0.301
0.3,2400,0.303
