TrialIdx,Diameter1_mm,Diameter2_mm,Diameter3_mm,Height1_mm,Height2_mm,Height3_mm
0,12.33,12.29,12.30,7.14,7.13,7.12
1,12.61,12.62,12.58,6.62,6.50,6.59
2,12.45,12.40,12.42,7.58,7.52,7.57
3,12.42,12.41,12.40,7.24,7.26,7.25
4,12.57,12.59,12.58,6.30,6.28,6.29
5,12.43,12.42,12.42,7.63,7.66,7.65
6,12.31,12.28,12.28,7.88,7.85,7.90
7,12.40,12.40,12.38,6.32,6.30,6.29
8,12.54,12.49,12.50,7.14,7.14,7.13
9,12.39,12.40,12.39,7.22,7.22,7.21
10,12.40,12.41,12.41,7.48,7.50,7.50
11,12.42,12.42,12.41,7.80,7.79,7.79
12,12.38,12.38,12.38,7.90,7.88,7.86
13,12.44,12.42,12.43,6.63,6.56,6.56
14,12.38,12.38,12.38,6.69,6.68,6.69
15,12.33,12.38,12.42,6.64,6.61,6.64
16,12.41,12.40,12.42,6.30,6.24,6.33
17,12.35,12.38,12.40,6.32,6.30,6.32
18,12.35,12.35,12.33,6.20,6.17,6.20
19,12.38,12.39,12.37,5.57,5.57,5.54
20,12.49,12.62,12.48,5.96,5.95,5.96
21,12.67,12.65,12.64,3.18,3.12,3.11
22,12.34,12.34,12.34,6.26,6.28,6.21
23,12.43,12.33,12.42,6.22,6.27,6.20
