Time (min),Force (N),Position (mm)
2E-05,0.879,0.000100
0.002,0.883,0.000100
0.003,0.844,0.000100
0.005,0.901,0.000100
0.006,0.857,0.000100
0.008,0.893,0.000700
0.009,1.14,0.00170
0.01,1.69,0.00370
0.01,2.35,0.00560
0.01,2.68,0.00740
0.02,3.16,0.00920
0.02,3.51,0.0109
0.02,3.97,0.0126
0.02,4.37,0.0141
0.02,4.85,0.0157
0.02,5.36,0.0173
0.02,5.99,0.0188
0.03,6.51,0.0203
0.03,7.21,0.0219
0.03,8.00,0.0233
0.03,8.86,0.0248
0.03,9.88,0.0263
0.03,10.8,0.0278
0.03,12.0,0.0294
0.04,13.3,0.0309
0.04,14.5,0.0324
0.04,15.9,0.0339
0.04,17.4,0.0355
0.04,19.0,0.0369
0.04,20.8,0.0384
0.05,22.7,0.0399
0.05,24.6,0.0415
0.05,26.8,0.0429
0.05,29.0,0.0444
0.05,31.7,0.0460
0.05,34.5,0.0475
0.05,37.0,0.0490
0.06,40.1,0.0505
0.06,43.2,0.0521
0.06,46.4,0.0536
0.06,49.9,0.0551
0.06,53.2,0.0566
0.06,56.8,0.0581
0.07,60.8,0.0596
0.07,64.6,0.0611
0.07,68.8,0.0626
0.07,72.6,0.0641
0.07,77.0,0.0657
0.07,81.6,0.0672
0.07,86.0,0.0687
0.08,90.7,0.0702
0.08,95.6,0.0718
0.08,100,0.0733
0.08,105,0.0747
0.08,111,0.0762
0.08,116,0.0778
0.08,122,0.0793
0.09,127,0.0808
0.09,133,0.0823
0.09,139,0.0838
0.09,145,0.0853
0.09,151,0.0868
0.09,157,0.0884
0.1,164,0.0899
0.1,170,0.0914
0.1,177,0.0929
0.1,184,0.0944
0.1,191,0.0959
0.1,198,0.0974
0.1,205,0.0989
0.1,213,0.101
0.1,220,0.102
0.1,228,0.104
0.1,236,0.105
0.1,244,0.106
0.1,252,0.108
0.1,260,0.109
0.1,269,0.111
0.1,278,0.113
0.1,287,0.114
0.1,296,0.116
0.1,305,0.117
0.1,314,0.119
0.1,324,0.120
0.1,334,0.122
0.1,344,0.123
0.1,353,0.125
0.1,364,0.126
0.1,374,0.128
0.1,385,0.129
0.1,395,0.131
0.1,407,0.132
0.1,418,0.134
0.1,429,0.135
0.1,441,0.137
0.1,453,0.138
0.1,465,0.140
0.1,478,0.141
0.1,490,0.143
0.1,504,0.144
0.2,517,0.146
0.2,530,0.147
0.2,544,0.149
0.2,558,0.150
0.2,571,0.152
0.2,586,0.154
0.2,601,0.155
0.2,615,0.156
0.2,630,0.158
0.2,645,0.159
