Time (min),Force (N),Position (mm)
1.67E-05,0.336,-0.000300
0.00137,0.350,-0.000300
0.00272,0.400,-0.000300
0.00407,0.372,-0.000300
0.00542,0.271,-0.000200
0.00677,0.357,0.000100
0.00812,0.445,0.00140
0.00947,0.636,0.00330
0.0108,0.808,0.00500
0.0122,1.31,0.00660
0.0135,1.38,0.00820
0.0149,1.67,0.00970
0.0162,1.92,0.0111
0.0176,2.39,0.0126
0.0189,2.82,0.0139
0.0203,3.24,0.0153
0.0216,3.65,0.0167
0.0230,4.09,0.0180
0.0243,4.50,0.0194
0.0257,4.84,0.0208
0.0270,5.22,0.0221
0.0284,5.81,0.0235
0.0297,6.41,0.0249
0.0311,7.28,0.0262
0.0324,8.11,0.0276
0.0338,9.18,0.0289
0.0351,10.4,0.0303
0.0365,11.5,0.0316
0.0378,13.0,0.0330
0.0392,14.4,0.0343
0.0405,15.9,0.0356
0.0419,17.6,0.0370
0.0432,19.3,0.0384
0.0446,21.2,0.0398
0.0459,23.3,0.0411
0.0473,25.3,0.0425
0.0486,27.6,0.0439
0.0500,30.1,0.0452
0.0513,32.6,0.0465
0.0527,35.2,0.0478
0.0540,38.0,0.0492
0.0554,41.0,0.0506
0.0567,44.0,0.0519
0.0581,47.4,0.0533
0.0594,50.6,0.0546
0.0608,53.9,0.0560
0.0621,57.7,0.0574
0.0635,61.3,0.0587
0.0648,64.8,0.0600
0.0662,68.7,0.0614
0.0675,72.8,0.0628
0.0689,76.6,0.0641
0.0702,80.8,0.0654
0.0716,85.0,0.0668
0.0729,89.5,0.0681
0.0743,93.9,0.0695
0.0756,98.5,0.0708
0.0770,103,0.0722
0.0783,108,0.0735
0.0797,113,0.0749
0.0810,118,0.0763
0.0824,123,0.0776
0.0837,128,0.0789
0.0851,133,0.0802
0.0864,139,0.0816
0.0878,145,0.0830
0.0891,150,0.0843
0.0905,156,0.0857
0.0918,162,0.0871
0.0932,169,0.0884
0.0945,175,0.0898
0.0959,181,0.0911
0.0972,187,0.0924
0.0986,194,0.0938
0.0999,201,0.0952
0.101,207,0.0965
0.103,214,0.0979
0.104,221,0.0992
0.105,228,0.101
0.107,236,0.102
0.108,243,0.103
0.109,250,0.105
0.111,258,0.106
0.112,266,0.107
0.113,274,0.109
0.115,282,0.110
0.116,290,0.111
0.117,299,0.113
0.119,307,0.114
0.120,316,0.115
0.122,324,0.117
0.123,333,0.118
0.124,343,0.120
0.126,352,0.121
0.127,362,0.122
0.128,371,0.124
0.130,381,0.125
0.131,391,0.126
0.132,401,0.128
0.134,411,0.129
0.135,421,0.130
0.136,432,0.132
0.138,442,0.133
0.139,453,0.134
0.140,463,0.136
0.142,474,0.137
0.143,486,0.138
0.145,498,0.140
0.146,510,0.141
0.147,521,0.143
0.149,533,0.144
0.150,545,0.145
0.151,556,0.147
0.153,568,0.148
0.154,580,0.149
