TrialIdx,Diameter1_mm,Diameter2_mm,Diameter3_mm,Height1_mm,Height2_mm,Height3_mm
0,12.38,12.38,12.37,5.36,5.38,5.39
1,12.15,12.20,12.24,5.50,5.49,5.47
2,12.25,12.23,12.29,5.80,5.80,5.62
3,12.45,12.44,12.42,5.97,5.96,5.90
4,12.28,12.12,12.14,6.33,6.54,6.54
5,12.37,12.34,12.35,6.51,6.48,6.44
6,12.41,12.36,12.39,6.56,6.56,6.52
7,12.26,12.31,12.22,6.49,6.52,6.61
8,12.33,12.31,12.32,6.61,6.51,6.62
9,12.60,12.47,12.59,6.49,6.69,6.68
10,12.33,12.32,12.33,6.41,6.38,6.39
11,12.32,12.31,12.30,6.43,6.46,6.50
12,12.29,12.26,12.32,6.75,6.75,6.74
13,12.44,12.42,12.42,6.78,6.77,6.73
14,12.36,12.36,12.36,7.02,7.01,7.02
15,12.13,12.14,12.13,6.83,6.82,6.80
16,12.27,12.27,12.31,7.17,7.18,7.14
17,12.35,12.33,12.34,7.17,7.16,7.16
18,12.34,12.36,12.35,7.24,7.24,7.25
19,12.47,12.47,12.47,7.50,7.51,7.49
20,12.49,12.50,12.52,7.31,7.20,7.33
21,12.56,12.53,12.52,7.10,7.06,7.11
22,12.35,12.34,12.35,5.68,5.70,5.72
23,12.54,12.56,12.54,7.01,7.01,7.05
24,12.26,12.19,12.18,6.67,6.53,6.69
25,12.22,12.23,12.25,6.27,6.30,6.30
26,12.33,12.37,12.33,6.59,6.51,6.59
27,12.26,12.24,12.27,6.55,6.46,6.60
28,12.33,12.32,12.33,6.74,6.68,6.67
29,12.47,12.46,12.44,6.77,6.83,6.88
30,12.36,12.36,12.36,7.11,7.10,7.11
31,12.32,12.33,12.34,7.74,7.75,7.73
32,12.30,12.29,12.31,6.45,6.46,6.49
33,12.33,12.31,12.36,7.04,7.12,7.06
34,12.36,12.34,12.35,7.11,7.13,7.14
35,12.30,12.32,12.30,7.08,6.97,6.99
36,12.58,12.54,12.53,6.17,6.09,6.18
37,12.49,12.51,12.49,7.31,7.38,7.37
38,12.34,12.35,12.35,6.95,6.97,6.90
39,12.58,12.56,12.60,6.55,6.59,6.56
40,12.32,12.39,12.36,6.50,6.59,6.59
41,12.30,12.29,12.27,6.38,6.42,6.34
42,12.44,12.43,12.45,6.95,6.96,6.92
43,12.45,12.44,12.36,6.54,6.64,6.59
44,12.37,12.35,12.40,6.71,6.71,6.64
45,12.39,12.37,12.36,6.87,6.88,6.82
46,12.49,12.51,12.50,7.39,7.37,7.39
47,12.37,12.37,12.37,7.32,7.32,7.28
48,12.39,12.39,12.39,6.66,6.69,6.71
49,12.47,12.47,12.44,7.13,7.07,7.09
50,12.44,12.42,12.43,7.39,7.38,7.39
51,12.43,12.44,12.45,7.45,7.45,7.45
52,12.44,12.47,12.47,7.35,7.28,7.33
53,12.46,12.45,12.50,7.48,7.50,7.51
54,12.40,12.40,12.41,6.97,6.96,6.94
55,12.47,12.50,12.48,6.91,6.87,6.91
56,12.35,12.37,12.35,7.50,7.52,7.50
57,12.34,12.33,12.34,7.64,7.66,7.64
58,12.38,12.39,12.39,7.99,8.00,8.02
59,12.36,12.32,12.34,6.51,6.50,6.52
60,12.34,12.30,12.32,6.82,6.86,6.85
61,12.33,12.32,12.33,6.68,6.70,6.72
62,12.36,12.33,12.33,6.50,6.49,6.49
63,12.35,12.36,12.36,6.26,6.27,6.28
64,12.32,12.30,12.29,6.28,6.30,6.30
65,12.34,12.33,12.35,6.28,6.24,6.22
66,12.34,12.29,12.29,6.27,6.25,6.25
67,12.41,12.38,12.38,6.00,5.98,5.96
68,12.36,12.34,12.35,5.98,5.99,5.95
69,23.35,12.37,12.35,6.41,6.41,6.42
70,12.34,12.35,12.34,6.39,6.41,6.47
