Time (min),Force (N),Position (mm)
1.667E-05,0.61429,-0.0001000
0.001258,0.55355,-0.0001000
0.002500,0.51433,-0.0001000
0.003742,0.66429,-0.0001000
0.004983,0.66420,-0.0001000
0.006225,0.65714,-0.0001000
0.007466,0.52844,-0.0001000
0.008708,0.52485,-0.0001000
0.009950,0.64320,-0.0001000
0.01119,0.52857,-0.0001000
0.01243,0.52143,-0.0001000
0.01367,0.56095,0.0001000
0.01492,0.67806,0.0007000
0.01616,1.1170,0.002346
0.01740,1.8637,0.003896
0.01864,2.2779,0.005300
0.01988,3.0211,0.006700
0.02112,3.3786,0.008100
0.02237,4.0492,0.009500
0.02361,4.7635,0.01080
0.02485,5.6214,0.01210
0.02609,6.5031,0.01340
0.02733,7.6772,0.01470
0.02857,8.8459,0.01600
0.02982,10.328,0.01720
0.03106,11.781,0.01850
0.03230,13.484,0.01970
0.03354,15.315,0.02090
0.03478,17.533,0.02220
0.03602,19.902,0.02350
0.03727,22.262,0.02470
0.03851,24.957,0.02590
0.03975,27.620,0.02720
0.04099,30.461,0.02840
0.04223,33.418,0.02960
0.04347,36.454,0.03090
0.04471,39.364,0.03210
0.04596,42.464,0.03330
0.04720,45.877,0.03460
0.04844,49.398,0.03590
0.04968,52.753,0.03710
0.05092,56.363,0.03830
0.05216,60.152,0.03960
0.05341,64.036,0.04080
0.05465,67.943,0.04209
0.05589,72.184,0.04330
0.05713,76.479,0.04450
0.05837,80.978,0.04580
0.05961,85.679,0.04710
0.06086,90.670,0.04830
0.06210,95.279,0.04950
0.06334,100.32,0.05080
0.06458,105.31,0.05200
0.06582,110.55,0.05323
0.06706,115.95,0.05450
0.06831,121.40,0.05580
0.06955,127.21,0.05700
0.07079,132.96,0.05820
0.07203,138.72,0.05950
0.07327,144.80,0.06070
0.07451,150.84,0.06198
0.07576,157.20,0.06313
0.07700,164.00,0.06440
0.07824,170.42,0.06570
0.07948,177.31,0.06690
0.08072,184.19,0.06820
0.08196,191.57,0.06940
0.08320,198.79,0.07063
0.08445,206.01,0.07190
0.08569,213.36,0.07310
0.08693,220.80,0.07430
0.08817,228.66,0.07560
0.08941,236.62,0.07680
0.09065,244.41,0.07803
0.09190,252.73,0.07930
0.09314,261.33,0.08060
0.09438,270.01,0.08180
0.09562,278.37,0.08300
0.09686,287.54,0.08430
0.09810,296.24,0.08550
0.09935,305.41,0.08678
0.1006,314.91,0.08803
0.1018,324.43,0.08930
0.1031,333.87,0.09050
0.1043,343.41,0.09177
0.1056,353.06,0.09300
0.1068,363.02,0.09420
0.1080,372.78,0.09542
0.1093,382.89,0.09670
0.1105,393.76,0.09792
0.1118,404.30,0.09920
0.1130,415.40,0.1005
0.1142,425.99,0.1017
0.1155,436.78,0.1029
0.1167,448.15,0.1042
0.1180,459.18,0.1054
0.1192,470.31,0.1067
0.1205,481.31,0.1078
0.1217,493.05,0.1091
0.1229,504.87,0.1103
0.1242,516.43,0.1116
0.1254,529.06,0.1129
0.1267,540.90,0.1141
0.1279,552.76,0.1153
0.1291,565.52,0.1166
0.1304,578.53,0.1179
0.1316,591.07,0.1191
0.1329,602.91,0.1203
0.1341,616.62,0.1216
0.1354,630.24,0.1229
0.1366,643.08,0.1241
0.1378,655.88,0.1253
0.1391,668.93,0.1265
0.1403,682.51,0.1277
0.1416,696.15,0.1290
0.1428,710.22,0.1303
0.1440,724.41,0.1316
0.1453,737.78,0.1328
0.1465,752.19,0.1340
0.1478,766.73,0.1353
0.1490,781.06,0.1365
0.1503,795.13,0.1377
0.1515,809.22,0.1390
0.1527,823.71,0.1402
0.1540,838.57,0.1414
0.1552,854.01,0.1427
0.1565,868.81,0.1440
0.1577,883.26,0.1451
0.1589,899.14,0.1464
0.1602,915.09,0.1477
0.1614,930.56,0.1489
0.1627,946.29,0.1502
0.1639,961.86,0.1514
0.1652,977.60,0.1526
0.1664,993.45,0.1539
0.1676,1010.4,0.1552
0.1689,1025.4,0.1564
0.1701,1040.9,0.1576
0.1714,1057.1,0.1588
0.1726,1073.9,0.1601
0.1738,1090.7,0.1613
0.1751,1107.2,0.1626
0.1763,1124.7,0.1638
0.1776,1142.2,0.1650
0.1788,1159.1,0.1663
0.1801,1177.8,0.1676
0.1813,1194.6,0.1688
0.1825,1211.9,0.1701
0.1838,1229.4,0.1713
0.1850,1247.1,0.1726
0.1863,1264.2,0.1738
0.1875,1281.8,0.1750
0.1887,1299.4,0.1762
0.1900,1317.7,0.1775
0.1912,1335.6,0.1787
0.1925,1354.6,0.1800
0.1937,1372.6,0.1812
0.1950,1391.2,0.1825
0.1962,1409.8,0.1837
0.1974,1428.0,0.1849
0.1987,1446.4,0.1862
0.1999,1465.4,0.1874
0.2012,1484.5,0.1887
0.2024,1503.5,0.1899
0.2036,1522.3,0.1912
0.2049,1541.3,0.1924
0.2061,1560.2,0.1936
0.2074,1579.5,0.1948
0.2086,1598.7,0.1961
0.2098,1618.5,0.1974
0.2111,1637.8,0.1986
0.2123,1657.9,0.1998
0.2136,1678.4,0.2011
0.2148,1698.0,0.2023
0.2161,1717.5,0.2036
0.2173,1737.7,0.2048
0.2185,1757.2,0.2060
0.2198,1777.3,0.2073
0.2210,1797.3,0.2085
0.2223,1817.0,0.2097
0.2235,1838.4,0.2110
0.2247,1859.6,0.2123
0.2260,1880.7,0.2135
0.2272,1900.5,0.2147
0.2285,1922.3,0.2160
0.2297,1943.3,0.2172
