Time (min),Force (N),Position (mm)
2E-05,0.571,-0.000400
0.002,0.493,-0.000400
0.004,0.507,-0.000400
0.006,0.451,-0.000400
0.008,0.500,5.29E-20
0.01,0.714,0.00190
0.01,0.831,0.00450
0.01,0.921,0.00680
0.02,0.986,0.00900
0.02,1.08,0.0112
0.02,1.19,0.0132
0.02,1.37,0.0152
0.02,1.43,0.0171
0.03,1.53,0.0190
0.03,1.59,0.0210
0.03,1.72,0.0229
0.03,1.90,0.0248
0.03,1.94,0.0268
0.03,2.04,0.0287
0.04,2.08,0.0307
0.04,2.23,0.0326
0.04,2.36,0.0345
0.04,2.49,0.0365
0.04,2.61,0.0384
0.05,2.77,0.0403
0.05,2.96,0.0422
0.05,3.12,0.0442
0.05,3.34,0.0461
0.05,3.56,0.0481
0.06,3.78,0.0500
0.06,4.17,0.0520
0.06,4.66,0.0539
0.06,5.09,0.0558
0.06,5.52,0.0577
0.07,6.04,0.0597
0.07,6.54,0.0617
0.07,6.90,0.0636
0.07,7.41,0.0655
0.07,7.82,0.0675
0.08,8.32,0.0694
0.08,8.86,0.0713
0.08,9.31,0.0732
0.08,9.92,0.0752
0.08,10.4,0.0771
0.09,10.9,0.0790
0.09,11.6,0.0810
0.09,12.2,0.0829
0.09,13.0,0.0849
0.09,13.7,0.0868
0.09,14.6,0.0887
0.1,15.4,0.0906
0.1,16.4,0.0926
0.1,17.3,0.0945
0.1,18.3,0.0965
0.1,19.2,0.0984
0.1,20.3,0.100
0.1,21.7,0.102
0.1,23.0,0.104
0.1,24.3,0.106
0.1,25.7,0.108
0.1,27.3,0.110
0.1,29.0,0.112
0.1,30.7,0.114
0.1,32.7,0.116
0.1,34.4,0.118
0.1,36.4,0.120
0.1,38.8,0.122
0.1,41.0,0.124
0.1,43.5,0.126
0.1,46.1,0.128
0.1,48.8,0.129
0.1,51.6,0.131
0.1,54.4,0.133
0.1,57.5,0.135
0.1,60.5,0.137
0.1,63.7,0.139
0.1,67.2,0.141
0.1,70.8,0.143
0.2,74.7,0.145
0.2,79.0,0.147
0.2,83.4,0.149
0.2,88.2,0.151
0.2,93.2,0.153
0.2,98.6,0.155
0.2,104,0.156
0.2,110,0.158
0.2,116,0.160
0.2,123,0.162
0.2,130,0.164
0.2,137,0.166
0.2,144,0.168
0.2,152,0.170
0.2,161,0.172
0.2,169,0.174
0.2,178,0.176
0.2,188,0.178
0.2,197,0.180
0.2,208,0.182
0.2,218,0.184
0.2,229,0.186
0.2,240,0.187
0.2,252,0.189
0.2,264,0.191
0.2,276,0.193
0.2,289,0.195
0.2,303,0.197
0.2,316,0.199
0.2,331,0.201
0.2,345,0.203
0.2,360,0.205
0.2,375,0.207
0.2,391,0.209
0.2,407,0.211
0.2,423,0.213
0.2,440,0.215
0.2,457,0.217
0.2,474,0.218
0.2,491,0.220
0.2,509,0.222
0.2,528,0.224
0.2,547,0.226
0.2,565,0.228
