Time (min),Force (N),Position (mm)
1.667E-05,0.38571,0.000
0.001326,0.42857,0.000
0.002636,0.30714,0.000
0.003945,0.44286,0.000
0.005254,0.34623,2.640E-05
0.006564,0.35957,0.0006000
0.007873,0.69286,0.001900
0.009183,1.1286,0.003600
0.01049,1.8899,0.005100
0.01180,3.0935,0.006500
0.01311,4.3616,0.007800
0.01442,5.7104,0.009200
0.01573,7.3414,0.01060
0.01704,8.8240,0.01200
0.01835,10.284,0.01340
0.01966,11.893,0.01480
0.02097,13.701,0.01610
0.02228,15.742,0.01750
0.02359,17.908,0.01880
0.02490,20.357,0.02010
0.02621,23.019,0.02140
0.02751,26.049,0.02280
0.02882,29.127,0.02405
0.03013,32.207,0.02530
0.03144,35.891,0.02660
0.03275,39.699,0.02800
0.03406,43.554,0.02930
0.03537,47.894,0.03060
0.03668,52.456,0.03190
0.03799,57.182,0.03320
0.03930,62.634,0.03460
0.04061,68.095,0.03590
0.04192,73.865,0.03720
0.04323,79.684,0.03850
0.04454,86.023,0.03980
0.04585,92.731,0.04110
0.04716,99.872,0.04240
0.04847,107.07,0.04370
0.04978,114.91,0.04500
0.05108,122.55,0.04630
0.05239,131.19,0.04770
0.05370,139.61,0.04900
0.05501,148.38,0.05028
0.05632,158.00,0.05160
0.05763,167.12,0.05290
0.05894,176.94,0.05420
0.06025,187.62,0.05550
0.06156,197.46,0.05680
0.06287,208.35,0.05810
0.06418,219.10,0.05940
0.06549,230.54,0.06070
0.06680,241.89,0.06200
0.06811,253.47,0.06330
0.06942,265.34,0.06460
0.07073,277.85,0.06590
0.07204,290.40,0.06730
0.07334,303.25,0.06860
0.07465,316.14,0.06990
0.07596,329.37,0.07120
0.07727,343.07,0.07250
0.07858,356.85,0.07380
0.07989,370.34,0.07505
0.08120,384.77,0.07640
0.08251,399.14,0.07770
0.08382,413.83,0.07900
0.08513,429.34,0.08040
0.08644,444.05,0.08170
0.08775,459.84,0.08300
0.08906,475.03,0.08430
0.09037,490.64,0.08560
0.09168,506.11,0.08690
0.09299,522.25,0.08820
0.09430,538.74,0.08950
0.09561,554.91,0.09080
0.09691,571.50,0.09210
0.09822,588.60,0.09340
0.09953,605.03,0.09470
0.1008,621.96,0.09600
0.1022,640.13,0.09731
0.1035,657.12,0.09860
0.1048,674.82,0.09993
0.1061,693.30,0.1013
0.1074,711.39,0.1026
0.1087,729.50,0.1039
0.1100,747.89,0.1053
0.1113,765.67,0.1065
0.1126,784.44,0.1079
0.1139,803.65,0.1092
0.1152,822.20,0.1105
0.1166,841.54,0.1118
0.1179,861.27,0.1131
0.1192,881.23,0.1144
0.1205,901.48,0.1158
0.1218,921.76,0.1171
0.1231,941.50,0.1184
0.1244,960.85,0.1197
0.1257,982.65,0.1210
0.1270,1002.9,0.1223
0.1283,1023.3,0.1236
0.1297,1043.8,0.1249
0.1310,1065.0,0.1262
0.1323,1086.0,0.1275
0.1336,1107.2,0.1288
0.1349,1129.4,0.1301
0.1362,1151.2,0.1315
0.1375,1174.4,0.1328
0.1388,1195.9,0.1341
0.1401,1219.4,0.1354
0.1414,1241.8,0.1367
0.1427,1264.2,0.1380
0.1441,1287.2,0.1393
0.1454,1309.8,0.1407
0.1467,1333.9,0.1420
0.1480,1356.9,0.1432
0.1493,1380.4,0.1446
0.1506,1404.9,0.1459
0.1519,1428.5,0.1472
0.1532,1452.9,0.1485
0.1545,1478.3,0.1498
0.1558,1501.7,0.1511
0.1571,1525.2,0.1524
0.1585,1551.2,0.1538
0.1598,1576.7,0.1551
0.1611,1600.9,0.1563
0.1624,1626.2,0.1576
0.1637,1651.2,0.1589
0.1650,1676.7,0.1602
0.1663,1702.7,0.1616
0.1676,1729.7,0.1629
0.1689,1756.3,0.1642
0.1702,1783.1,0.1656
0.1716,1810.3,0.1669
0.1729,1837.6,0.1682
0.1742,1862.8,0.1694
0.1755,1890.8,0.1708
0.1768,1917.3,0.1721
0.1781,1944.8,0.1734
0.1794,1973.3,0.1747
0.1807,2001.2,0.1760
0.1820,2028.3,0.1773
0.1833,2058.5,0.1787
0.1846,2087.2,0.1800
0.1860,2115.2,0.1813
0.1873,2143.5,0.1826
0.1886,2172.1,0.1839
0.1899,2201.0,0.1852
0.1912,2230.9,0.1865
0.1925,2259.8,0.1878
0.1938,2289.2,0.1891
0.1951,2317.8,0.1904
0.1964,2347.9,0.1917
0.1977,2377.3,0.1930
0.1991,2406.4,0.1943
0.2004,2436.7,0.1956
0.2017,2467.3,0.1969
0.2030,2497.3,0.1983
0.2043,2528.9,0.1996
0.2056,2558.4,0.2009
0.2069,2588.7,0.2022
0.2082,2619.6,0.2035
0.2095,2650.5,0.2048
0.2108,2681.5,0.2061
0.2121,2711.7,0.2074
0.2135,2741.7,0.2087
0.2148,2773.9,0.2100
0.2161,2804.3,0.2114
0.2174,2835.9,0.2127
0.2187,2867.1,0.2140
0.2200,2898.8,0.2153
0.2213,2930.5,0.2166
0.2226,2962.0,0.2179
0.2239,2993.6,0.2192
0.2252,3026.5,0.2205
0.2265,3058.7,0.2219
0.2279,3091.0,0.2232
0.2292,3123.6,0.2245
0.2305,3154.0,0.2258
0.2318,3187.0,0.2270
0.2331,3220.2,0.2284
0.2344,3253.0,0.2297
0.2357,3284.8,0.2310
0.2370,3318.4,0.2324
0.2383,3353.3,0.2337
0.2396,3385.0,0.2350
0.2410,3417.8,0.2363
0.2423,3450.6,0.2376
0.2436,3482.4,0.2389
0.2449,3516.8,0.2402
0.2462,3548.6,0.2415
0.2475,3582.2,0.2428
0.2488,3616.4,0.2441
0.2501,3650.3,0.2455
0.2514,3683.0,0.2468
0.2527,3718.2,0.2481
0.2540,3751.3,0.2494
0.2554,3782.7,0.2507
0.2567,3818.5,0.2521
0.2580,3852.3,0.2534
0.2593,3885.3,0.2547
0.2606,3918.5,0.2560
0.2619,3951.0,0.2572
0.2632,3985.1,0.2585
0.2645,4019.9,0.2598
0.2658,4054.4,0.2612
0.2671,4088.4,0.2625
0.2685,4122.3,0.2638
0.2698,4157.0,0.2651
0.2711,4191.2,0.2665
0.2724,4226.3,0.2678
0.2737,4259.3,0.2690
0.2750,4293.1,0.2704
0.2763,4326.9,0.2716
0.2776,4361.9,0.2730
0.2789,4396.0,0.2743
0.2802,4429.6,0.2755
0.2815,4465.3,0.2769
0.2829,4499.8,0.2782
0.2842,4533.1,0.2795
0.2855,4570.0,0.2809
0.2868,4603.6,0.2821
0.2881,4638.0,0.2834
0.2894,4673.0,0.2848
0.2907,4710.2,0.2862
0.2920,4743.3,0.2874
0.2933,4776.4,0.2887
0.2946,4811.2,0.2900
0.2959,4845.4,0.2912
0.2973,4880.4,0.2925
0.2986,4914.8,0.2938
0.2999,4949.8,0.2952
0.3012,4982.9,0.2965
0.3025,5021.1,0.2978
0.3038,5057.2,0.2992
0.3051,5092.4,0.3004
0.3064,5126.9,0.3018
0.3077,5161.7,0.3031
0.3090,5197.5,0.3044
0.3104,5233.5,0.3057
0.3117,5266.9,0.3070
0.3130,5303.9,0.3083
0.3143,5340.5,0.3097
0.3156,5377.5,0.3110
0.3169,5411.6,0.3123
0.3182,5446.6,0.3136
0.3195,5483.4,0.3149
0.3208,5518.6,0.3162
0.3221,5554.3,0.3176
0.3234,5591.9,0.3189
0.3248,5624.2,0.3202
0.3261,5658.5,0.3214
0.3274,5694.4,0.3228
0.3287,5730.3,0.3241
0.3300,5765.5,0.3253
0.3313,5802.0,0.3267
0.3326,5836.7,0.3280
0.3339,5872.0,0.3293
0.3352,5911.3,0.3307
0.3365,5946.3,0.3320
0.3379,5982.9,0.3333
0.3392,6018.4,0.3346
0.3405,6054.1,0.3359
0.3418,6089.9,0.3372
0.3431,6123.1,0.3385
0.3444,6158.5,0.3397
0.3457,6195.5,0.3411
0.3470,6230.7,0.3424
0.3483,6268.6,0.3437
0.3496,6302.0,0.3450
0.3509,6338.6,0.3463
0.3523,6374.0,0.3476
0.3536,6409.9,0.3489
0.3549,6445.7,0.3502
0.3562,6482.0,0.3516
0.3575,6519.9,0.3529
0.3588,6556.1,0.3542
0.3601,6592.5,0.3555
0.3614,6627.8,0.3567
0.3627,6664.5,0.3581
0.3640,6699.2,0.3594
0.3653,6736.0,0.3607
0.3667,6771.2,0.3620
0.3680,6807.4,0.3633
0.3693,6847.3,0.3648
0.3706,6883.0,0.3660
0.3719,6918.2,0.3673
0.3732,6954.7,0.3686
0.3745,6987.1,0.3699
0.3758,7026.0,0.3712
0.3771,7061.9,0.3725
0.3784,7097.3,0.3738
0.3798,7134.0,0.3751
0.3811,7171.8,0.3765
0.3824,7207.3,0.3778
0.3837,7246.4,0.3791
0.3850,7282.8,0.3804
0.3863,7318.1,0.3817
0.3876,7355.4,0.3831
0.3889,7393.6,0.3844
0.3902,7427.7,0.3857
0.3915,7463.0,0.3870
0.3928,7497.5,0.3883
0.3942,7534.2,0.3896
0.3955,7568.5,0.3909
0.3968,7604.1,0.3922
0.3981,7641.1,0.3935
0.3994,7675.5,0.3948
0.4007,7714.8,0.3961
0.4020,7750.9,0.3975
0.4033,7787.5,0.3988
0.4046,7822.7,0.4000
0.4059,7856.4,0.4013
0.4073,7891.4,0.4026
0.4086,7928.0,0.4040
0.4099,7965.5,0.4052
0.4112,8000.0,0.4065
0.4125,8036.7,0.4079
0.4138,8074.4,0.4092
0.4151,8109.2,0.4105
0.4164,8146.8,0.4119
0.4177,8184.0,0.4131
0.4190,8219.4,0.4144
0.4203,8254.5,0.4157
0.4217,8294.7,0.4171
0.4230,8330.3,0.4184
0.4243,8363.7,0.4196
0.4256,8400.9,0.4210
0.4269,8435.7,0.4223
0.4282,8470.9,0.4236
0.4295,8506.5,0.4249
0.4308,8543.5,0.4262
0.4321,8579.9,0.4275
0.4334,8618.8,0.4289
0.4347,8655.8,0.4302
0.4361,8692.0,0.4315
0.4374,8724.3,0.4327
0.4387,8761.0,0.4341
0.4400,8797.6,0.4354
0.4413,8834.0,0.4367
0.4426,8870.3,0.4379
0.4439,8906.7,0.4393
0.4452,8940.9,0.4406
0.4465,8980.3,0.4420
0.4478,9015.7,0.4433
0.4492,9050.3,0.4445
0.4505,9086.9,0.4459
0.4518,9123.4,0.4472
0.4531,9158.7,0.4485
0.4544,9198.3,0.4499
0.4557,9231.0,0.4511
0.4570,9267.3,0.4524
0.4583,9303.2,0.4538
0.4596,9339.8,0.4551
0.4609,9376.0,0.4564
0.4622,9409.8,0.4577
0.4636,9445.4,0.4590
0.4649,9482.0,0.4603
0.4662,9520.1,0.4617
0.4675,9556.7,0.4629
0.4688,9590.2,0.4643
0.4701,9626.4,0.4655
0.4714,9662.8,0.4669
0.4727,9698.8,0.4682
0.4740,9732.2,0.4694
0.4753,9768.0,0.4707
0.4767,9802.9,0.4721
0.4780,9838.5,0.4734
0.4793,9877.3,0.4748
0.4806,9909.9,0.4760
0.4819,9947.0,0.4773
0.4832,9983.5,0.4787
0.4845,10018,0.4800
0.4858,10052,0.4813
0.4871,10088,0.4826
0.4884,10125,0.4839
0.4897,10160,0.4852
0.4911,10195,0.4865
0.4924,10230,0.4877
0.4937,10263,0.4891
0.4950,10298,0.4904
0.4963,10335,0.4917
0.4976,10370,0.4929
0.4989,10406,0.4943
0.5002,10443,0.4957
0.5015,10479,0.4970
0.5028,10514,0.4983
0.5041,10549,0.4996
0.5055,10581,0.5008
0.5068,10619,0.5022
0.5081,10655,0.5035
0.5094,10687,0.5048
0.5107,10723,0.5061
0.5120,10760,0.5075
0.5133,10796,0.5087
0.5146,10833,0.5101
0.5159,10869,0.5114
0.5172,10903,0.5127
0.5186,10937,0.5141
0.5199,10974,0.5154
0.5212,11008,0.5167
0.5225,11043,0.5180
0.5238,11076,0.5192
0.5251,11112,0.5206
0.5264,11146,0.5219
0.5277,11181,0.5232
0.5290,11218,0.5245
0.5303,11251,0.5258
0.5316,11289,0.5272
0.5330,11324,0.5285
0.5343,11359,0.5298
0.5356,11393,0.5311
0.5369,11425,0.5323
0.5382,11461,0.5337
0.5395,11497,0.5350
0.5408,11532,0.5363
0.5421,11565,0.5375
0.5434,11600,0.5389
0.5447,11636,0.5402
0.5461,11669,0.5415
0.5474,11706,0.5429
